"filename", "language", "PHP", "CSS", "JavaScript", "XML", "Markdown", "JSON", "comment", "blank", "total"
"d:\Proyectos Laravel\iglesia-microservicio-php\lang\es.json", "JSON", 0, 0, 0, 0, 0, 71, 0, 0, 71
"d:\Proyectos Laravel\iglesia-microservicio-php\lang\es\auth.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 3, 10
"d:\Proyectos Laravel\iglesia-microservicio-php\lang\es\http-statuses.php", "PHP", 82, 0, 0, 0, 0, 0, 0, 3, 85
"d:\Proyectos Laravel\iglesia-microservicio-php\lang\es\pagination.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 3, 9
"d:\Proyectos Laravel\iglesia-microservicio-php\lang\es\passwords.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 3, 12
"d:\Proyectos Laravel\iglesia-microservicio-php\lang\es\validation.php", "PHP", 214, 0, 0, 0, 0, 0, 0, 3, 217
"d:\Proyectos Laravel\iglesia-microservicio-php\package-lock.json", "JSON", 0, 0, 0, 0, 0, 2557, 0, 1, 2558
"d:\Proyectos Laravel\iglesia-microservicio-php\package.json", "JSON", 0, 0, 0, 0, 0, 22, 0, 1, 23
"d:\Proyectos Laravel\iglesia-microservicio-php\phpunit.xml", "XML", 0, 0, 0, 29, 0, 0, 2, 1, 32
"d:\Proyectos Laravel\iglesia-microservicio-php\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 1, 7
"d:\Proyectos Laravel\iglesia-microservicio-php\public\css\card\card.css", "CSS", 0, 169, 0, 0, 0, 0, 8, 7, 184
"d:\Proyectos Laravel\iglesia-microservicio-php\public\css\noprint.js", "JavaScript", 0, 0, 72, 0, 0, 0, 4, 11, 87
"d:\Proyectos Laravel\iglesia-microservicio-php\public\firebase-messaging-sw.js", "JavaScript", 0, 0, 24, 0, 0, 0, 8, 1, 33
"d:\Proyectos Laravel\iglesia-microservicio-php\public\index.php", "PHP", 14, 0, 0, 0, 0, 0, 30, 12, 56
"d:\Proyectos Laravel\iglesia-microservicio-php\public\js\card\card.js", "JavaScript", 0, 0, 3, 0, 0, 0, 14, 0, 17
"d:\Proyectos Laravel\iglesia-microservicio-php\public\js\card\jquery.card.js", "JavaScript", 0, 0, 3, 0, 0, 0, 14, 0, 17
"d:\Proyectos Laravel\iglesia-microservicio-php\public\qrcode.svg", "XML", 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\Proyectos Laravel\iglesia-microservicio-php\resources\css\app.css", "CSS", 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\Proyectos Laravel\iglesia-microservicio-php\resources\js\app.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 4, 8
"d:\Proyectos Laravel\iglesia-microservicio-php\resources\js\bootstrap.js", "JavaScript", 0, 0, 5, 0, 0, 0, 22, 8, 35
"d:\Proyectos Laravel\iglesia-microservicio-php\resources\views\components\application-logo.blade.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Proyectos Laravel\iglesia-microservicio-php\resources\views\components\auth-card.blade.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 2, 10
"d:\Proyectos Laravel\iglesia-microservicio-php\resources\views\components\auth-session-status.blade.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 2, 8
"d:\Proyectos Laravel\iglesia-microservicio-php\resources\views\components\auth-validation-errors.blade.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 3, 16
"d:\Proyectos Laravel\iglesia-microservicio-php\resources\views\components\dropdown-link.blade.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 1, 2
